,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2009,2009,2009,2009,2008,2008,2008,2008,2008,2008,2008,2008,2008,2007,2007,2007,2007,2007,2007,2007,2007,2007,2006,2006,2006,2006,2006,2006,2006,2006,2006,2005,2005,2005,2005,2005,2005,2005,2005,2005,2004,2004,2004,2004,2004,2004,2004,2004,2004,2003,2003,2003,2003,2003,2003,2003,2003,2003,2002,2002,2002,2002,2002,2002,2002,2002,2002,2001,2001,2001,2001,2001,2001,2001,2001,2001
AD,101,First Year Art and Design (Common Entry portfolio),National College of Art and Design,554.0,,True,True,False,False,False,"First Year Art & Design (Common Entry,portfolio)",National College of Art and Design,,,True,True,False,False,False,First Year Art & Design (Common Entry),National College of Art and Design,,550.0,True,True,False,False,False,First Year Art & Design (Common Entry) (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,1st Year Art and Design (Common Entry - Matric + Portfolio),National College of Art and Design,,,True,False,False,False,False,1st Year Art and Design (Common Entry),National College of Art and Design,407.0,537.0,True,True,False,False,False,1st Year Art and Design (Common Entry),National College of Art and Design,,540.0,True,True,False,False,False,1st Year Art and Design (Common Entry),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art and Design (1st Year Common Entry)#+m,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,538.0,,True,True,False,False,False,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,,,True,True,False,False,False,Graphic Design and Moving Image Design,National College of Art and Design,,635.0,True,True,False,False,False,Illustration and Graphic Design (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,103,Textile and Surface Design and Jewellery and Objec,National College of Art and Design,505.0,,True,True,False,False,False,Textile & Surface Design and Jewellery & Objects (portfolio),National College of Art and Design,,,True,True,False,False,False,Textile & Surface Design and Jewellery & Objects,National College of Art and Design,,545.0,True,True,False,False,False,"Textiles, Jewellery & Objects (Portfolio +matric)",National College of Art and Design,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,1st Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,False,False,False,False,1st Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,1st Year (Core)#,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,1st Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,1st Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,First Year (Core),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,202,Education and Design or Fine Art (Second Level Tea,National College of Art and Design,591.0,,True,True,False,False,False,"Education & Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,,,True,True,False,False,False,Education & Design or Fine Art (Second Level Teaching),National College of Art and Design,,580.0,True,True,False,False,False,Design or Fine Art & Education - Second Level Teaching (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,"Design or Fine Art, and Education-Second Level Teaching (Matric+Portfolio)",National College of Art and Design,,,True,False,False,False,False,"Design or Fine Art, and Education - Second Level Teaching",National College of Art and Design,545.0,640.0,True,True,False,False,False,"Design or Fine Art, and Education - Second Level Teaching",National College of Art and Design,,573.0,True,True,False,False,False,Design or Fine Art - and Education - Second Level Teaching,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Design or Fine Art and Education second level teaching                       #  +m,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,204,Fine Art (portfolio)                              ,National College of Art and Design,514.0,,True,True,False,False,False,Fine Art (portfolio),National College of Art and Design,,,True,True,False,False,False,Fine Art,National College of Art and Design,,600.0,True,True,False,False,False,Fine Art (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,211,Fashion Design (portfolio)                        ,National College of Art and Design,679.0,,True,True,False,False,False,Fashion Design (portfolio),National College of Art and Design,,,True,True,False,False,False,Fashion Design,National College of Art and Design,,600.0,True,True,False,False,False,Fashion Design (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,212,Product Design (portfolio)                        ,National College of Art and Design,413.0,,True,True,False,False,False,Product Design (portfolio),National College of Art and Design,,,True,True,False,False,False,Product Design,National College of Art and Design,,600.0,True,True,False,False,False,Product Design (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,Product Design (Matric + Portfolio),National College of Art and Design,,,True,False,False,False,False,Product Design,National College of Art and Design,410.0,592.0,True,True,False,False,False,Product Design,National College of Art and Design,,555.0,True,True,False,False,False,Product Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Product Design#+m,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,215,Visual Culture                                    ,National College of Art and Design,300.0,,True,False,False,False,False,Visual Culture,National College of Art and Design,320.0,389.0,True,False,False,False,False,Visual Culture,National College of Art and Design,300.0,338.0,True,False,False,False,False,Visual Culture,National College of Art and Design,279.0,,True,False,False,False,False,Visual Culture,National College of Art and Design,301.0,389.0,True,False,False,False,False,Visual Culture,National College of Art and Design,325.0,395.0,True,False,False,False,False,Visual Culture,National College of Art and Design,340.0,375.0,True,False,False,False,False,Visual Culture,NATIONAL COLLEGE of ART and DESIGN,350.0,425.0,True,False,False,False,False,Visual Culture,NATIONAL COLLEGE of ART and DESIGN,360.0,405.0,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,217,Illustration (portfolio)                          ,National College of Art and Design,738.0,,True,True,False,False,False,Illustration (portfolio),National College of Art and Design,,,True,True,False,False,False,Illustration,National College of Art and Design,,625.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,222,Interaction Design (portfolio)                    ,National College of Art and Design,444.0,,True,True,False,False,False,Interaction Design (portfolio),National College of Art and Design,,,True,True,False,False,False,Interaction Design,National College of Art and Design,,657.0,True,True,False,False,False,Interaction Design (Portfolio +matric),National College of Art and Design,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theology and Philosophy,ALL HALLOWS,250.0,280.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,250.0,285.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,270.0,330.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,280.0,305.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,175.0,290.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,250.0,300.0,True,False,False,False,False,Theology and Philosophy,ALL HALLOWS,,305.0,True,False,False,True,False,Theology and Philosophy,ALL HALLOWS,,290.0,True,True,False,True,False,Theology and Philosophy,ALL HALLOWS,270.0,280.0,True,True,False,False,False,Theology and Philosophy                           ,ALL HALLOWS,270.0,290.0,True,True,False,False,False,Theology and Philosophy                           ,ALL HALLOWS,275.0,350.0,True,True,False,False,False,Theology and Philosophy                           ,ALL HALLOWS,370.0,370.0,True,False,False,False,False,Theology and Philosophy            ,ALL HALLOWS,275.0,,True,False,False,False,False
AH,002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theology and Psychology,ALL HALLOWS,310.0,345.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,315.0,340.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,340.0,355.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,340.0,355.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,340.0,370.0,True,False,True,False,False,Theology and Psychology,ALL HALLOWS,300.0,320.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,300.0,330.0,True,False,False,False,False,Theology and Psychology,ALL HALLOWS,325.0,360.0,True,True,False,False,False,Theology and Psychology,ALL HALLOWS,325.0,375.0,True,True,False,False,False,Theology and Psychology                           ,ALL HALLOWS,310.0,350.0,True,True,False,False,False,Theology and Psychology                           ,ALL HALLOWS,305.0,345.0,True,True,False,False,False,Theology and Psychology                           ,ALL HALLOWS,315.0,340.0,True,False,False,False,False,Theology and Psychology            ,ALL HALLOWS,280.0,,True,False,False,False,False
AH,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theology and English Literature,ALL HALLOWS,290.0,340.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,295.0,345.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,300.0,335.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,340.0,345.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,310.0,345.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,280.0,310.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,265.0,305.0,True,False,False,False,False,Theology and English Literature,ALL HALLOWS,300.0,320.0,True,True,False,False,False,Theology and English Literature,ALL HALLOWS,310.0,325.0,True,True,False,False,False,Theology and English Literature                   ,ALL HALLOWS,300.0,335.0,True,True,False,False,False,Theology and English Literature                   ,ALL HALLOWS,270.0,300.0,True,True,False,False,False,Theology and English Literature                   ,ALL HALLOWS,305.0,330.0,True,False,False,False,False,Theology and English Literature    ,ALL HALLOWS,270.0,,True,False,False,False,False
AH,004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theology and Spirituality                         ,ALL HALLOWS,,,True,False,False,False,False,Theology and Spirituality          ,ALL HALLOWS,315.0,,True,False,False,False,False
AL,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business,ATHLONE IT,160.0,280.0,False,False,False,False,False,Business,ATHLONE IT,140.0,270.0,False,False,False,False,False,Business,ATHLONE IT,125.0,260.0,False,False,False,False,False,Business,ATHLONE IT,,285.0,False,False,False,True,False,Business,ATHLONE IT,130.0,280.0,False,False,False,False,False,Business,ATHLONE IT,165.0,280.0,False,False,False,False,False,Business Studies,ATHLONE IT,180.0,305.0,False,False,False,False,False,Business Studies                                  ,ATHLONE IT,180.0,295.0,False,False,False,False,False,Business Studies                                  ,ATHLONE IT,120.0,275.0,False,False,False,False,False,Business Studies                                  ,ATHLONE IT,120.0,265.0,False,False,False,False,False,Business Studies                   ,ATHLONE IT,100.0,,False,False,False,False,False
AL,002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culinary Arts,ATHLONE IT,155.0,215.0,False,False,False,False,False,Culinary Arts,ATHLONE IT,115.0,205.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Studies ( Cavan )                        ,ATHLONE IT,100.0,235.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,Business Studies (Cavan)           ,ATHLONE IT,,,False,False,False,True,False
AL,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office Management,ATHLONE IT,,190.0,False,False,False,True,False,Office Management,ATHLONE IT,120.0,225.0,False,False,False,False,False,Office Management,ATHLONE IT,120.0,205.0,False,False,False,False,False,Office Management,ATHLONE IT,,235.0,False,False,False,True,False,Office Management,ATHLONE IT,135.0,250.0,False,False,False,False,False,Office Management,ATHLONE IT,150.0,295.0,False,False,False,False,False,Office Information Systems,ATHLONE IT,135.0,250.0,False,False,False,False,False,Office Info Systems                               ,ATHLONE IT,115.0,230.0,False,False,False,False,False,Office info Systems                               ,ATHLONE IT,115.0,260.0,False,False,False,False,False,Office info Systems                               ,ATHLONE IT,105.0,235.0,False,False,False,False,False,Office info Systems                ,ATHLONE IT,100.0,,False,False,False,False,False
AL,004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar Supervision,ATHLONE IT,135.0,185.0,False,False,False,False,False,Bar Supervision,ATHLONE IT,,175.0,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office Info Systems ( Cavan )                     ,ATHLONE IT,100.0,300.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,Office Info Systems (Cavan)        ,ATHLONE IT,105.0,,False,False,False,False,False
AL,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Office Management,ATHLONE IT,,210.0,False,False,False,True,False,Front Office Management,ATHLONE IT,150.0,280.0,False,False,False,False,False,Front Office Management,ATHLONE IT,100.0,220.0,False,False,False,False,False,Front Office Management,ATHLONE IT,120.0,250.0,False,False,False,False,False,Front Office Management,ATHLONE IT,120.0,220.0,False,False,False,False,False,Front Office Management                           ,ATHLONE IT,125.0,260.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,Office Info Systems ( Greendale )  ,ATHLONE IT,110.0,,False,False,False,False,False
